Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
16837,Sport Boat,Marinello power boats,"New boat from stock,Unleaded",2014,4.7,1.85,GRP,Germany,156
16837,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10,3,GRP,Croatia,111
16837,Pontoon Boat,Ranieri International power boats,"New boat from stock,Unleaded",2020,5.55,2.18,GRP,Italy,87
16837,Fishing Boat,Vizion power boats,New boat from stock,2019,4.7,1.95,Aluminium,Germany,70
16837,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,Italy,356
16837,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,Germany,198
16837,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,France,68
16837,Pontoon Boat,Ranieri International power boats,"New boat from stock,Unleaded",2020,5.55,2.18,GRP,Switzerland,80
16837,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5,2.1,GRP,Germany,180
17515,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,Germany,145
17515,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,Austria,125
17515,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,Austria,236
17515,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,Netherland,253
17515,Trawler,SkilsÃƒÂ¶ power boats,"Used boat,Diesel",1979,7,2.5,GRP,Germany,311
17513.9,Cabin Boat,Quicksilver (Brunswick Marine) power boats,New boat from stock,2020,5.5,2.29,GRP,Germany,219
17503.7,Deck Boat,Jeanneau power boats,New boat from stock,2017,5,2,PVC,Russia,71
17454,Center console boat,Jeanneau power boats,New boat on order,2020,5.48,2.36,GRP,Germany,56
17402,Center console boat,Ranieri power boats,New boat from stock,2019,6,2.25,GRP,Italy,116
19098.7,Fishing Boat,VBoats power boats,"New boat from stock,Unleaded",2020,4.7,2.02,Aluminium,Switzerland,341
18900,Pilothouse,Milan power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,Switzerland,201
18328.6,Center console boat,Jeanneau power boats,New boat from stock,2020,5.48,2.36,GRP,Germany,99
18294.7,Sport Boat,AMT power boats,New boat from stock,2019,5.15,2.08,GRP,Germany,60
18900,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,Switzerland,387
18792,Pilothouse,Smartliner power boats,New boat on order,2020,6.4,2.25,GRP,Switzerland,399
18792,Center console boat,Morningstar power boats,New boat from stock,2019,5,2,Aluminium,Switzerland,149
18080,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,7.35,2.6,GRP,Croatia,141
19097,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,Monaco,53
19097,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,Germany,154
19097,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,Italy,107
19097,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,Germany,405
19097,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,France,62
19097,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,France,98
19097,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,Spain,152
19097,Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,Rolle,172
19720.8,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,Switzerland,339
19063.1,Sport Boat,Yamarin power boats,New boat from stock,2020,5.53,2.24,GRP,Germany,127
19666.8,Center console boat,Saver power boats,"New boat from stock,Unleaded",2020,5.83,2.03,GRP,Switzerland,247
19656,Fishing Boat,Lund Boats power boats,New boat from stock,2020,4.95,2.03,Aluminium,Switzerland,241
19656,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,6.5,2.5,Thermoplastic,Switzerland,331
19775,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,6.22,2.47,PVC,France,144
19775,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,5.4,2.4,GRP,Portugal,192
19775,Trawler,Pedro power boats,Used boat,1984,8.6,2.8,Steel,Netherland,149
19763.7,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,7,2,GRP,Germany,164
20412,Fishing Boat,VBoats power boats,"New boat from stock,Unleaded",2019,5,1.94,Aluminium,Switzerland,215
20412,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,5.71,2.34,Plastic,Switzerland,335
20412,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,Switzerland,686
21060,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,Switzerland,1028
20340,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,7.96,2.47,GRP,Portugal,375
20340,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,6.2,2,GRP,Italy,333
20340,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,7.35,2.72,GRP,Spain,129
20340,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,6.21,2.48,PVC,Spain,211
20340,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,8,2.94,GRP,Italy,334
20340,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,5.59,2.29,PVC,Spain,119
21244,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,5.33,2.25,PVC,France,110
21187.5,Center console boat,Clear power boats,New boat from stock,2020,6.15,2.27,GRP,Germany,149
21131,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,6.5,2.4,GRP,Germany,254
21119.7,Center console boat,Invictus power boats,"New boat from stock,Unleaded",2020,6.1,2.4,GRP,Switzerland,324
21600,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,7.62,2.59,GRP,Switzerland,220
21589.2,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,4.67,2.16,GRP,Switzerland,540
21589.2,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,7.22,2.57,GRP,Switzerland,339
21708,Fishing Boat,Smartliner power boats,New boat from stock,2020,6.4,2.25,GRP,Switzerland,185
21492,Runabout,Safter Marine power boats,New boat from stock,2020,5,1.9,GRP,Switzerland,401
21492,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,Switzerland,2026
20921.9,Sport Boat,Yamarin power boats,New boat from stock,2020,4.86,1.96,Aluminium,Germany,145
22035,Trawler,Beachcraft power boats,Used boat,1981,8.2,3.1,Steel,Netherland,118
22035,Cabin Boat,Waterland power boats,Used boat,1975,8.2,3.1,GRP,Netherland,101
22035,Cabin Boat,KOK power boats,Used boat,2005,6.1,2.25,Steel,Netherland,78
22035,Cabin Boat,Sea Ray power boats,Used boat,1996,8.95,2.59,GRP,Steinwiesen,778
22023.7,Cabin Boat,Bayliner power boats,Unleaded,2003,5.89,2.37,GRP,Germany,261
22680,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,5.95,2.27,GRP,Switzerland,163
22626,Motor Yacht,Pacific Craft power boats,"New boat from stock,Unleaded",2018,4.99,1.97,GRP,Switzerland,183
21809,Center console boat,Ranieri International power boats,"New boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,117
22464,Pontoon Boat,MÃƒÂ¤ndli power boats,New boat from stock,2020,9,1.7,Wood,Switzerland,235
22487,Deck Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2019,6.12,2.44,GRP,Italy,217
22487,Sport Boat,Galia power boats,"New boat from stock,Unleaded",2018,4.78,1.95,GRP,Germany,121
22487,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,9,3.2,GRP,Switzerland,314
22487,Motor Yacht,Crownline power boats,Used boat,1997,7.5,2.59,GRP,Netherland,122
22487,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,7.83,2.58,PVC,France,165
22487,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,6.16,2.29,GRP,Switzerland,375
22487,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,Aluminium,Germany,80
22487,Sport Boat,Kelt power boats,"Used boat,Unleaded",2002,6.97,2.44,PVC,France,89
22487,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2006,6.23,2.3,PVC,France,97
22487,Cabin Boat,Fjord power boats,"Used boat,Diesel",1984,8.15,2.9,GRP,Germany,280
22487,Sport Boat,Boesch power boats,"Used boat,Unleaded",1970,5.1,2.02,Wood,Germany,206
22487,Cabin Boat,Smartliner power boats,"Used boat,Unleaded",2017,5.7,2.25,GRP,Germany,159
22487,Motor Yacht,Doerak Sneek power boats,"Used boat,Diesel",1969,8.5,3.1,Steel,Belgium,157
23163.9,Pilothouse,Quicksilver (Brunswick Marine) power boats,New boat from stock,2020,5.75,2.54,GRP,Germany,153
23153.7,Sport Boat,Sting power boats,New boat from stock,2018,6.08,2.37,GRP,Germany,115
